t = 0.00, x = 10.0095, v = 0.8995
t = 2.20, x = -2.4316, v = -6.0220
t = 2.21, x = -2.4916, v = -5.9794
t = 2.22, x = -2.5512, v = -5.9364
t = 2.23, x = -2.6104, v = -5.8931
t = 2.24, x = -2.6691, v = -5.8495
t = 2.25, x = -2.7274, v = -5.8055
t = 2.26, x = -2.7852, v = -5.7613
t = 2.27, x = -2.8426, v = -5.7166
t = 2.28, x = -2.8995, v = -5.6717
t = 2.29, x = -2.9560, v = -5.6265
t = 2.30, x = -3.0121, v = -5.5809
t = 2.31, x = -3.0676, v = -5.5351
t = 2.32, x = -3.1228, v = -5.4890
t = 2.33, x = -3.1774, v = -5.4425
t = 2.34, x = -3.2316, v = -5.3958
t = 2.35, x = -3.2853, v = -5.3488
t = 2.36, x = -3.3386, v = -5.3015
t = 2.37, x = -3.3914, v = -5.2539
t = 2.38, x = -3.4437, v = -5.2060
t = 2.39, x = -3.4955, v = -5.1579
t = 2.40, x = -3.5468, v = -5.1095
t = 2.41, x = -3.5977, v = -5.0609
t = 2.42, x = -3.6480, v = -5.0120
t = 2.43, x = -3.6979, v = -4.9628
t = 2.44, x = -3.7473, v = -4.9134
t = 2.45, x = -3.7962, v = -4.8637
t = 2.46, x = -3.8446, v = -4.8138
t = 2.47, x = -3.8925, v = -4.7636
t = 2.48, x = -3.9398, v = -4.7132
t = 2.49, x = -3.9867, v = -4.6626
t = 2.50, x = -4.0331, v = -4.6118
t = 2.51, x = -4.0790, v = -4.5607
t = 2.52, x = -4.1243, v = -4.5094
t = 2.53, x = -4.1691, v = -4.4579
t = 2.54, x = -4.2135, v = -4.4061
t = 2.55, x = -4.2573, v = -4.3542
t = 2.56, x = -4.3006, v = -4.3020
t = 2.57, x = -4.3433, v = -4.2497
t = 2.58, x = -4.3855, v = -4.1971
t = 2.59, x = -4.4273, v = -4.1443
t = 2.60, x = -4.4684, v = -4.0914
t = 2.61, x = -4.5091, v = -4.0382
t = 2.62, x = -4.5492, v = -3.9849
t = 2.63, x = -4.5888, v = -3.9314
t = 2.64, x = -4.6278, v = -3.8777
t = 2.65, x = -4.6663, v = -3.8238
t = 2.66, x = -4.7043, v = -3.7697
t = 2.67, x = -4.7417, v = -3.7155
t = 2.68, x = -4.7786, v = -3.6611
t = 2.69, x = -4.8149, v = -3.6065
t = 2.70, x = -4.8507, v = -3.5518
t = 2.71, x = -4.8860, v = -3.4969
t = 2.72, x = -4.9207, v = -3.4418
t = 2.73, x = -4.9548, v = -3.3866
t = 2.74, x = -4.9884, v = -3.3313
t = 2.75, x = -5.0214, v = -3.2757
t = 2.76, x = -5.0539, v = -3.2201
t = 2.77, x = -5.0858, v = -3.1643
t = 2.78, x = -5.1172, v = -3.1084
t = 2.79, x = -5.1480, v = -3.0523
t = 2.80, x = -5.1783, v = -2.9961
t = 2.81, x = -5.2079, v = -2.9397
t = 2.82, x = -5.2371, v = -2.8833
t = 2.83, x = -5.2656, v = -2.8267
t = 2.84, x = -5.2936, v = -2.7700
t = 2.85, x = -5.3210, v = -2.7131
t = 2.86, x = -5.3478, v = -2.6562
t = 2.87, x = -5.3741, v = -2.5991
t = 2.88, x = -5.3998, v = -2.5420
t = 2.89, x = -5.4250, v = -2.4847
t = 2.90, x = -5.4495, v = -2.4273
t = 2.91, x = -5.4735, v = -2.3698
t = 2.92, x = -5.4969, v = -2.3122
t = 2.93, x = -5.5198, v = -2.2545
t = 2.94, x = -5.5420, v = -2.1967
t = 2.95, x = -5.5637, v = -2.1388
t = 2.96, x = -5.5848, v = -2.0809
t = 2.97, x = -5.6053, v = -2.0228
t = 2.98, x = -5.6252, v = -1.9647
t = 2.99, x = -5.6446, v = -1.9064
t = 3.00, x = -5.6634, v = -1.8481
t = 3.01, x = -5.6816, v = -1.7898
t = 3.02, x = -5.6992, v = -1.7313
t = 3.03, x = -5.7162, v = -1.6728
t = 3.04, x = -5.7326, v = -1.6142
t = 3.05, x = -5.7485, v = -1.5555
t = 3.06, x = -5.7637, v = -1.4968
t = 3.07, x = -5.7784, v = -1.4380
t = 3.08, x = -5.7925, v = -1.3792
t = 3.09, x = -5.8060, v = -1.3203
t = 3.10, x = -5.8189, v = -1.2613
t = 3.11, x = -5.8312, v = -1.2023
t = 3.12, x = -5.8429, v = -1.1432
t = 3.13, x = -5.8541, v = -1.0841
t = 3.14, x = -5.8646, v = -1.0250
t = 3.15, x = -5.8746, v = -0.9658
t = 3.16, x = -5.8839, v = -0.9065
t = 3.17, x = -5.8927, v = -0.8473
t = 3.18, x = -5.9009, v = -0.7880
t = 3.19, x = -5.9085, v = -0.7286
t = 3.20, x = -5.9155, v = -0.6693
t = 3.21, x = -5.9219, v = -0.6099
t = 3.22, x = -5.9277, v = -0.5505
t = 3.23, x = -5.9329, v = -0.4910
t = 3.24, x = -5.9375, v = -0.4316
t = 3.25, x = -5.9415, v = -0.3721
t = 3.26, x = -5.9449, v = -0.3126
t = 3.27, x = -5.9477, v = -0.2531
t = 3.28, x = -5.9500, v = -0.1936
t = 3.29, x = -5.9516, v = -0.1340
t = 3.30, x = -5.9527, v = -0.0745
t = 3.31, x = -5.9531, v = -0.0150
t = 3.32, x = -5.9530, v = 0.0445
t = 3.33, x = -5.9522, v = 0.1041
t = 3.34, x = -5.9509, v = 0.1636
t = 3.35, x = -5.9489, v = 0.2231
t = 3.36, x = -5.9464, v = 0.2825
t = 3.37, x = -5.9433, v = 0.3419
t = 3.38, x = -5.9396, v = 0.4013
t = 3.39, x = -5.9353, v = 0.4605
t = 3.40, x = -5.9304, v = 0.5197
t = 3.41, x = -5.9249, v = 0.5789
t = 3.42, x = -5.9188, v = 0.6379
t = 3.43, x = -5.9121, v = 0.6968
t = 3.44, x = -5.9049, v = 0.7557
t = 3.45, x = -5.8970, v = 0.8144
t = 3.46, x = -5.8886, v = 0.8729
t = 3.47, x = -5.8795, v = 0.9314
t = 3.48, x = -5.8699, v = 0.9897
t = 3.49, x = -5.8598, v = 1.0478
t = 3.50, x = -5.8490, v = 1.1058
t = 3.51, x = -5.8376, v = 1.1636
t = 3.52, x = -5.8257, v = 1.2212
t = 3.53, x = -5.8132, v = 1.2786
t = 3.54, x = -5.8001, v = 1.3358
t = 3.55, x = -5.7865, v = 1.3928
t = 3.56, x = -5.7723, v = 1.4496
t = 3.57, x = -5.7575, v = 1.5061
t = 3.58, x = -5.7422, v = 1.5625
t = 3.59, x = -5.7263, v = 1.6185
t = 3.60, x = -5.7098, v = 1.6744
t = 3.61, x = -5.6928, v = 1.7299
t = 3.62, x = -5.6752, v = 1.7852
t = 3.63, x = -5.6571, v = 1.8402
t = 3.64, x = -5.6384, v = 1.8950
t = 3.65, x = -5.6192, v = 1.9494
t = 3.66, x = -5.5994, v = 2.0036
t = 3.67, x = -5.5791, v = 2.0574
t = 3.68, x = -5.5583, v = 2.1109
t = 3.69, x = -5.5369, v = 2.1641
t = 3.70, x = -5.5150, v = 2.2170
t = 3.71, x = -5.4925, v = 2.2695
t = 3.72, x = -5.4696, v = 2.3217
t = 3.73, x = -5.4461, v = 2.3735
t = 3.74, x = -5.4221, v = 2.4250
t = 3.75, x = -5.3976, v = 2.4760
t = 3.76, x = -5.3726, v = 2.5268
t = 3.77, x = -5.3471, v = 2.5771
t = 3.78, x = -5.3210, v = 2.6271
t = 3.79, x = -5.2945, v = 2.6766
t = 3.80, x = -5.2675, v = 2.7258
t = 3.81, x = -5.2400, v = 2.7746
t = 3.82, x = -5.2120, v = 2.8229
t = 3.83, x = -5.1836, v = 2.8708
t = 3.84, x = -5.1546, v = 2.9183
t = 3.85, x = -5.1252, v = 2.9654
t = 3.86, x = -5.0953, v = 3.0120
t = 3.87, x = -5.0649, v = 3.0582
t = 3.88, x = -5.0341, v = 3.1040
t = 3.89, x = -5.0029, v = 3.1493
t = 3.90, x = -4.9712, v = 3.1941
t = 3.91, x = -4.9390, v = 3.2385
t = 3.92, x = -4.9064, v = 3.2824
t = 3.93, x = -4.8733, v = 3.3259
t = 3.94, x = -4.8399, v = 3.3688
t = 3.95, x = -4.8060, v = 3.4113
t = 3.96, x = -4.7716, v = 3.4533
t = 3.97, x = -4.7369, v = 3.4948
t = 3.98, x = -4.7017, v = 3.5358
t = 3.99, x = -4.6662, v = 3.5763
t = 4.00, x = -4.6302, v = 3.6164
t = 4.01, x = -4.5939, v = 3.6559
t = 4.02, x = -4.5571, v = 3.6949
t = 4.03, x = -4.5200, v = 3.7334
t = 4.04, x = -4.4824, v = 3.7713
t = 4.05, x = -4.4445, v = 3.8088
t = 4.06, x = -4.4063, v = 3.8457
t = 4.07, x = -4.3676, v = 3.8821
t = 4.08, x = -4.3286, v = 3.9180
t = 4.09, x = -4.2893, v = 3.9533
t = 4.10, x = -4.2495, v = 3.9881
t = 4.11, x = -4.2095, v = 4.0224
t = 4.12, x = -4.1691, v = 4.0562
t = 4.13, x = -4.1284, v = 4.0894
t = 4.14, x = -4.0873, v = 4.1220
t = 4.15, x = -4.0459, v = 4.1541
t = 4.16, x = -4.0042, v = 4.1857
t = 4.17, x = -3.9622, v = 4.2167
t = 4.18, x = -3.9199, v = 4.2471
t = 4.19, x = -3.8773, v = 4.2770
t = 4.20, x = -3.8344, v = 4.3064
t = 4.21, x = -3.7911, v = 4.3352
t = 4.22, x = -3.7477, v = 4.3634
t = 4.23, x = -3.7039, v = 4.3911
t = 4.24, x = -3.6598, v = 4.4182
t = 4.25, x = -3.6155, v = 4.4448
t = 4.26, x = -3.5709, v = 4.4708
t = 4.27, x = -3.5261, v = 4.4962
t = 4.28, x = -3.4810, v = 4.5211
t = 4.29, x = -3.4357, v = 4.5454
t = 4.30, x = -3.3901, v = 4.5691
t = 4.31, x = -3.3443, v = 4.5923
t = 4.32, x = -3.2983, v = 4.6149
t = 4.33, x = -3.2520, v = 4.6370
t = 4.34, x = -3.2055, v = 4.6585
t = 4.35, x = -3.1588, v = 4.6794
t = 4.36, x = -3.1119, v = 4.6997
t = 4.37, x = -3.0648, v = 4.7195
t = 4.38, x = -3.0175, v = 4.7388
t = 4.39, x = -2.9701, v = 4.7574
t = 4.40, x = -2.9224, v = 4.7755
t = 4.41, x = -2.8745, v = 4.7931
t = 4.42, x = -2.8265, v = 4.8100
t = 4.43, x = -2.7783, v = 4.8265
t = 4.44, x = -2.7300, v = 4.8423
t = 4.45, x = -2.6815, v = 4.8576
t = 4.46, x = -2.6328, v = 4.8723
t = 4.47, x = -2.5841, v = 4.8865
t = 4.48, x = -2.5351, v = 4.9001
t = 4.49, x = -2.4860, v = 4.9132
t = 4.50, x = -2.4369, v = 4.9257
t = 4.51, x = -2.3875, v = 4.9377
t = 4.52, x = -2.3381, v = 4.9491
t = 4.53, x = -2.2886, v = 4.9600
t = 4.54, x = -2.2389, v = 4.9703
t = 4.55, x = -2.1891, v = 4.9800
t = 4.56, x = -2.1393, v = 4.9893
t = 4.57, x = -2.0894, v = 4.9979
t = 4.58, x = -2.0393, v = 5.0061
t = 4.59, x = -1.9892, v = 5.0137
t = 4.60, x = -1.9391, v = 5.0207
t = 4.61, x = -1.8888, v = 5.0272
t = 4.62, x = -1.8385, v = 5.0332
t = 4.63, x = -1.7882, v = 5.0387
t = 4.64, x = -1.7377, v = 5.0436
t = 4.65, x = -1.6873, v = 5.0480
t = 4.66, x = -1.6368, v = 5.0519
t = 4.67, x = -1.5863, v = 5.0552
t = 4.68, x = -1.5357, v = 5.0580
t = 4.69, x = -1.4851, v = 5.0603
t = 4.70, x = -1.4345, v = 5.0621
t = 4.71, x = -1.3839, v = 5.0634
t = 4.72, x = -1.3332, v = 5.0642
t = 4.73, x = -1.2826, v = 5.0644
t = 4.74, x = -1.2319, v = 5.0642
t = 4.75, x = -1.1813, v = 5.0634
t = 4.76, x = -1.1307, v = 5.0621
t = 4.77, x = -1.0800, v = 5.0604
t = 4.78, x = -1.0294, v = 5.0581
t = 4.79, x = -0.9789, v = 5.0554
t = 4.80, x = -0.9283, v = 5.0522
t = 4.81, x = -0.8778, v = 5.0484
t = 4.82, x = -0.8274, v = 5.0442
t = 4.83, x = -0.7770, v = 5.0395
t = 4.84, x = -0.7266, v = 5.0344
t = 4.85, x = -0.6763, v = 5.0287
t = 4.86, x = -0.6260, v = 5.0226
t = 4.87, x = -0.5758, v = 5.0160
t = 4.88, x = -0.5257, v = 5.0090
t = 4.89, x = -0.4756, v = 5.0014
t = 4.90, x = -0.4257, v = 4.9935
t = 4.91, x = -0.3758, v = 4.9850
t = 4.92, x = -0.3260, v = 4.9761
t = 4.93, x = -0.2762, v = 4.9668
t = 4.94, x = -0.2266, v = 4.9570
t = 4.95, x = -0.1771, v = 4.9467
t = 4.96, x = -0.1277, v = 4.9361
t = 4.97, x = -0.0784, v = 4.9249
t = 4.98, x = -0.0292, v = 4.9134
t = 4.99, x = 0.0199, v = 4.9014
t = 5.00, x = 0.0688, v = 4.8889
t = 5.01, x = 0.1177, v = 4.8761
t = 5.02, x = 0.1664, v = 4.8628
t = 5.03, x = 0.2149, v = 4.8491
t = 5.04, x = 0.2633, v = 4.8350
t = 5.05, x = 0.3116, v = 4.8205
t = 5.06, x = 0.3598, v = 4.8055
t = 5.07, x = 0.4077, v = 4.7902
t = 5.08, x = 0.4556, v = 4.7744
t = 5.09, x = 0.5032, v = 4.7583
t = 5.10, x = 0.5507, v = 4.7417
t = 5.11, x = 0.5981, v = 4.7248
t = 5.12, x = 0.6452, v = 4.7074
t = 5.13, x = 0.6922, v = 4.6897
t = 5.14, x = 0.7390, v = 4.6716
t = 5.15, x = 0.7856, v = 4.6531
t = 5.16, x = 0.8321, v = 4.6342
t = 5.17, x = 0.8783, v = 4.6150
t = 5.18, x = 0.9244, v = 4.5954
t = 5.19, x = 0.9702, v = 4.5754
t = 5.20, x = 1.0159, v = 4.5550
t = 5.21, x = 1.0613, v = 4.5343
t = 5.22, x = 1.1066, v = 4.5133
t = 5.23, x = 1.1516, v = 4.4918
t = 5.24, x = 1.1964, v = 4.4700
t = 5.25, x = 1.2410, v = 4.4479
t = 5.26, x = 1.2854, v = 4.4254
t = 5.27, x = 1.3295, v = 4.4026
t = 5.28, x = 1.3734, v = 4.3795
t = 5.29, x = 1.4171, v = 4.3560
t = 5.30, x = 1.4605, v = 4.3321
t = 5.31, x = 1.5037, v = 4.3080
t = 5.32, x = 1.5467, v = 4.2835
t = 5.33, x = 1.5894, v = 4.2587
t = 5.34, x = 1.6319, v = 4.2336
t = 5.35, x = 1.6741, v = 4.2082
t = 5.36, x = 1.7160, v = 4.1824
t = 5.37, x = 1.7577, v = 4.1563
t = 5.38, x = 1.7992, v = 4.1300
t = 5.39, x = 1.8403, v = 4.1033
t = 5.40, x = 1.8812, v = 4.0763
t = 5.41, x = 1.9219, v = 4.0491
t = 5.42, x = 1.9622, v = 4.0215
t = 5.43, x = 2.0023, v = 3.9936
t = 5.44, x = 2.0421, v = 3.9655
t = 5.45, x = 2.0816, v = 3.9371
t = 5.46, x = 2.1208, v = 3.9084
t = 5.47, x = 2.1598, v = 3.8794
t = 5.48, x = 2.1984, v = 3.8501
t = 5.49, x = 2.2368, v = 3.8206
t = 5.50, x = 2.2748, v = 3.7908
t = 5.51, x = 2.3126, v = 3.7607
t = 5.52, x = 2.3500, v = 3.7304
t = 5.53, x = 2.3872, v = 3.6998
t = 5.54, x = 2.4240, v = 3.6690
t = 5.55, x = 2.4606, v = 3.6379
t = 5.56, x = 2.4968, v = 3.6065
t = 5.57, x = 2.5327, v = 3.5749
t = 5.58, x = 2.5683, v = 3.5431
t = 5.59, x = 2.6036, v = 3.5110
t = 5.60, x = 2.6385, v = 3.4787
t = 5.61, x = 2.6731, v = 3.4461
t = 5.62, x = 2.7074, v = 3.4133
t = 5.63, x = 2.7414, v = 3.3803
t = 5.64, x = 2.7750, v = 3.3471
t = 5.65, x = 2.8083, v = 3.3136
t = 5.66, x = 2.8413, v = 3.2799
t = 5.67, x = 2.8739, v = 3.2460
t = 5.68, x = 2.9062, v = 3.2119
t = 5.69, x = 2.9382, v = 3.1776
t = 5.70, x = 2.9698, v = 3.1431
t = 5.71, x = 3.0010, v = 3.1083
t = 5.72, x = 3.0319, v = 3.0734
t = 5.73, x = 3.0625, v = 3.0382
t = 5.74, x = 3.0927, v = 3.0029
t = 5.75, x = 3.1226, v = 2.9674
t = 5.76, x = 3.1521, v = 2.9316
t = 5.77, x = 3.1812, v = 2.8957
t = 5.78, x = 3.2100, v = 2.8596
t = 5.79, x = 3.2384, v = 2.8234
t = 5.80, x = 3.2664, v = 2.7869
t = 5.81, x = 3.2941, v = 2.7503
t = 5.82, x = 3.3214, v = 2.7134
t = 5.83, x = 3.3484, v = 2.6765
t = 5.84, x = 3.3750, v = 2.6393
t = 5.85, x = 3.4012, v = 2.6020
t = 5.86, x = 3.4270, v = 2.5645
t = 5.87, x = 3.4525, v = 2.5269
t = 5.88, x = 3.4776, v = 2.4891
t = 5.89, x = 3.5023, v = 2.4511
t = 5.90, x = 3.5266, v = 2.4130
t = 5.91, x = 3.5505, v = 2.3748
t = 5.92, x = 3.5741, v = 2.3364
t = 5.93, x = 3.5972, v = 2.2978
t = 5.94, x = 3.6200, v = 2.2592
t = 5.95, x = 3.6424, v = 2.2203
t = 5.96, x = 3.6644, v = 2.1814
t = 5.97, x = 3.6861, v = 2.1423
t = 5.98, x = 3.7073, v = 2.1031
t = 5.99, x = 3.7281, v = 2.0637
t = 6.00, x = 3.7486, v = 2.0242
t = 6.01, x = 3.7686, v = 1.9847
t = 6.02, x = 3.7883, v = 1.9449
t = 6.03, x = 3.8075, v = 1.9051
t = 6.04, x = 3.8264, v = 1.8652
t = 6.05, x = 3.8448, v = 1.8251
t = 6.06, x = 3.8629, v = 1.7849
